id,vneg,neg,neu,pos,vpos
10261,0,1,0,0,0
10446,0,1,1,0,0
10856,0,3,1,0,0
11149,0,2,1,0,0
11480,0,4,1,0,0
11526,0,2,0,0,0
11718,0,1,0,0,0
11773,0,4,0,0,0
11834,0,3,8,0,0
11881,0,2,1,0,0
12310,0,0,0,2,0
12357,0,4,1,1,0
12834,0,1,0,0,0
12867,0,1,0,0,0
12989,0,0,1,0,0
13977,0,1,0,0,0
13997,0,1,0,0,0
14206,0,1,0,0,0
14237,0,2,0,0,0
14371,0,2,0,0,0
14571,0,1,1,0,0
14704,0,1,0,1,0
14849,0,0,1,0,0
14921,0,0,1,0,0
15073,0,1,0,0,0
15330,0,1,0,0,0
15560,0,2,0,0,0
15698,0,2,2,0,0
15793,0,1,1,0,0
15801,0,1,0,0,0
16633,0,1,0,0,0
16677,0,1,0,0,0
1671,0,1,0,0,0
16908,0,2,1,0,0
16927,0,0,1,0,0
1725,0,0,1,0,0
17369,0,2,2,0,0
17727,0,1,1,0,0
17895,0,1,1,0,0
17964,0,0,1,0,0
180,0,1,1,1,0
18020,0,0,1,0,0
18037,0,2,1,0,0
18059,0,1,1,0,0
18121,0,1,0,0,0
18301,0,0,2,0,0
18707,0,0,1,0,0
18885,0,0,1,0,0
19905,0,1,1,0,0
19946,0,2,1,0,0
20061,0,0,1,0,0
20237,0,1,0,0,0
20296,0,1,0,0,0
20625,0,1,0,0,0
20729,0,0,3,1,0
20748,0,1,0,0,0
20905,0,1,1,0,0
2091,0,0,1,0,0
20954,0,2,0,0,0
20968,0,1,0,0,0
21128,0,0,0,1,0
22097,0,1,0,0,0
22447,0,0,1,0,0
22691,0,2,2,0,0
22766,0,0,0,1,0
23248,0,0,1,0,0
23785,0,2,0,0,0
23837,0,1,0,0,0
24531,0,1,0,0,0
24867,0,2,2,1,0
24937,0,0,1,0,0
25612,0,1,0,0,0
26184,0,0,1,0,0
26572,0,1,0,2,0
26594,0,0,1,0,0
2685,0,5,2,0,0
27430,0,0,0,2,0
27475,0,3,3,0,0
27659,0,0,1,0,0
27962,0,1,0,0,0
28310,0,0,1,0,0
28313,0,2,1,1,0
28338,0,0,0,1,0
28741,0,0,1,0,0
28865,0,1,0,0,0
29014,0,0,1,1,0
29351,0,1,0,0,0
29394,0,1,0,0,0
2987,0,0,1,0,0
29936,0,3,0,1,0
30436,0,3,0,0,0
30705,0,0,1,0,0
31064,0,0,1,0,0
31554,0,0,0,1,0
31936,0,1,0,0,0
32125,0,0,1,0,0
32383,0,1,0,0,0
33026,0,1,0,0,0
33049,0,0,1,0,0
33117,0,1,0,0,0
33264,0,1,0,0,0
33812,0,1,0,0,0
33963,0,1,0,0,0
33984,0,0,1,0,0
3399,0,2,0,0,0
34194,0,0,1,1,0
34239,0,0,1,0,0
34335,0,1,0,0,0
34559,0,1,0,0,0
35079,0,1,0,0,0
3591,0,1,1,0,0
36048,1,0,0,0,0
36052,0,0,1,1,0
36622,0,0,1,0,0
36623,0,0,1,1,0
36717,0,0,0,1,0
36911,0,0,0,1,0
37179,0,0,1,0,0
37251,0,1,0,0,0
37398,0,1,0,0,0
37778,0,1,1,0,0
37860,0,1,0,0,0
38439,0,1,0,0,0
38592,0,0,1,0,0
38797,0,0,1,0,0
38950,0,5,1,0,0
39032,0,0,1,0,0
40844,0,2,1,0,0
409,0,1,1,0,0
41140,0,0,0,2,0
41195,0,0,1,0,0
41306,0,0,1,0,0
4163,0,0,1,0,0
41962,0,1,0,0,0
42086,0,0,1,0,0
4223,0,0,2,0,0
42670,0,0,1,0,0
43512,0,4,2,0,0
43983,0,0,1,0,0
44105,0,0,1,0,0
44952,0,2,0,0,0
45050,0,1,1,0,0
45473,0,12,1,0,0
45651,0,1,0,0,0
45835,0,1,0,0,0
45877,0,3,1,0,0
46068,0,3,1,0,0
46121,0,7,1,0,0
46218,0,0,1,0,0
46309,0,0,0,1,0
46878,0,3,1,0,0
4691,0,0,1,0,0
4694,0,1,1,0,0
46942,0,0,1,0,0
46997,0,0,2,0,0
47248,0,0,1,0,0
4758,0,0,0,1,0
47855,0,0,0,1,1
48034,0,10,7,1,0
48151,0,0,1,0,0
48779,0,0,2,1,0
4887,0,0,1,1,0
49357,0,0,1,0,0
49721,0,0,1,0,0
49893,0,0,0,1,0
50449,0,2,0,0,0
50490,1,0,1,0,0
50889,0,1,0,0,0
5134,0,0,0,4,0
51694,0,1,0,0,0
51837,0,2,1,0,0
51981,0,2,0,0,0
52102,0,2,0,0,0
52309,1,24,1,0,0
52597,0,0,0,1,0
52716,0,0,1,0,0
5294,0,1,2,0,0
53257,0,0,2,0,0
53284,0,1,1,0,0
5373,0,3,0,1,0
53882,1,0,1,0,0
54763,0,0,1,0,0
5491,0,5,0,0,0
56246,0,1,1,0,0
57099,0,1,1,0,0
5711,0,0,2,1,0
5713,0,1,1,0,0
57161,0,2,0,1,0
57316,0,0,0,1,0
57398,1,0,1,0,0
58251,0,2,0,0,0
58473,0,0,1,0,0
58537,0,1,0,0,0
58715,0,0,1,0,0
58727,0,0,1,0,0
58767,0,1,0,1,0
58874,0,5,0,0,0
58877,0,1,4,0,0
59257,0,0,2,0,0
59275,0,1,0,0,0
60022,0,1,0,0,0
60192,0,1,0,0,0
60217,0,0,0,1,0
60365,0,0,0,1,0
60566,0,1,1,0,0
60669,0,0,1,1,0
60790,0,2,1,0,0
60965,0,1,0,0,0
