id,Manual,NLTK,SS,Alchemy,SNLP
180,Neutral,neg,Positive,positive,Neutral
398,Neutral,neg,Negative,negative ,Negative
409,Neutral,neg,Neutral,neutral,Negative
485,Neutral,neg,Negative,negative ,Negative
611,Negative,neg,Neutral,negative,Negative
644,Neutral,neutral,Neutral,negative,Negative
1101,Neutral,neutral,Positive,positive,Negative
1671,Neutral,neutral,Neutral,positive,Negative
1725,Neutral,neutral,Neutral,negative,Neutral
2091,Neutral,pos,Neutral,negative,Neutral
2463,Neutral,pos,Positive,positive ,Negative
2685,Neutral,neutral,Positive,positive,Negative
2987,Positive,pos,Positive,positive,Neutral
3399,Neutral,pos,Negative,negative,Negative
3908,Neutral,pos,Neutral,negative,Neutral
4169,Neutral,pos,Positive,negative ,Neutral
4223,Neutral,neutral,Positive,neutral,Neutral
4691,Positive,neutral,Neutral,neutral,Neutral
4758,Neutral,pos,Neutral,positive,Positive
4887,Positive,neg,Positive,positive,Positive
5294,Positive,neutral,Negative,negative,Negative
5373,Neutral,pos,Positive,positive,Negative
5491,Neutral,neg,Positive,positive,Negative
5711,Neutral,neg,Positive,neutral,Positive
5713,Neutral,neg,Positive,neutral,Negative
5721,Neutral,neutral,Neutral,positive,Negative
6272,Neutral,neutral,Negative,negative,Negative
6447,Neutral,neutral,Negative,negative,Negative
6555,Neutral,neutral,Neutral,neutral,Neutral
7278,Positive,neg,Positive,positive,Neutral
7461,Positive,pos,Positive,positive,Negative
7636,Neutral,neg,Neutral,negative,Neutral
7665,Positive,pos,Positive,positive,Positive
8098,Neutral,neg,Negative,negative,Negative
8202,Neutral,neg,Negative,negative,Negative
8640,Neutral,neg,Neutral,neutral,Negative
8813,Neutral,neutral,Neutral,neutral,Neutral
8980,Neutral,neg,Neutral,negative,Negative
9485,Neutral,neutral,Negative,negative,Negative
9798,Neutral,neutral,Neutral,negative,Neutral
9989,Neutral,neutral,Neutral,neutral,Negative
10134,Negative,neg,Neutral,negative ,Negative
10261,Neutral,neg,Negative,negative,Negative
10446,Neutral,neutral,Neutral,negative,Negative
10856,Negative,neg,Neutral,negative,Negative
11149,Negative,neg,Negative,negative,Negative
11480,Neutral,neutral,Neutral,neutral,Negative
11526,Neutral,neutral,Neutral,negative,Negative
11718,Neutral,neg,Negative,negative,Negative
11834,Neutral,neutral,Neutral,negative,Negative
11978,Negative,neg,Negative,negative ,Negative
12310,Positive,pos,Positive,positive,Positive
12357,Negative,pos,Positive,positive,Negative
12834,Neutral,neutral,Positive,positive,Negative
12867,Neutral,neutral,Positive,positive,Negative
12989,Neutral,neutral,Positive,negative,Neutral
13977,Neutral,neutral,Negative,neutral,Negative
13997,Neutral,neutral,Positive,positive,Negative
14206,Neutral,neutral,Neutral,negative,Negative
14237,Neutral,pos,Neutral,negative,Negative
14371,Neutral,pos,Positive,negative,Negative
14571,Positive,neg,Positive,neutral,Negative
14704,Neutral,neutral,Neutral,positive,Neutral
14849,Neutral,neutral,Neutral,negative,Neutral
15073,Neutral,neg,Neutral,negative,Negative
15330,Neutral,neutral,Neutral,negative,Negative
15793,Neutral,neg,Negative,negative,Negative
15801,Negative,neg,Neutral,negative,Negative
16633,Neutral,neutral,Neutral,neutral,Negative
16908,Positive,neg,Neutral,negative,Negative
16927,Neutral,pos,Neutral,positive,Neutral
17727,Neutral,pos,Neutral,positive,Negative
17895,Neutral,pos,Neutral,positive,Negative
17964,Neutral,neg,Neutral,neutral,Neutral
18037,Neutral,neutral,Neutral,neutral,Negative
18059,Neutral,neutral,Positive,positive,Negative
18121,Neutral,neutral,Positive,negative,Negative
18301,Neutral,neutral,Positive,negative,Neutral
18707,Neutral,neg,Neutral,neutral,Neutral
18885,Positive,pos,Positive,positive,Neutral
19423,Neutral,pos,Neutral,negative,Negative
19905,Negative,neg,Negative,negative,Negative
19946,Neutral,pos,Positive,positive,Negative
20061,Neutral,pos,Neutral,neutral,Neutral
20258,Neutral,pos,Neutral,positive,Negative
20296,Neutral,neutral,Neutral,neutral,Negative
20625,Neutral,neutral,Positive,neutral,Negative
20729,Negative,neg,Negative,negative,Positive
20748,Neutral,neutral,Positive,neutral,Negative
20968,Neutral,neutral,Positive,neutral,Negative
21128,Positive,pos,Positive,positive,Positive
22097,Neutral,neg,Positive,negative,Negative
22447,Neutral,pos,Neutral,positive,Neutral
23248,Neutral,neutral,Neutral,neutral,Neutral
23785,Neutral,neg,Negative,positive,Negative
23837,Neutral,neutral,Neutral,neutral,Negative
24531,Neutral,neutral,Negative,neutral,Negative
24867,Neutral,neg,Neutral,negative,Negative
24937,Neutral,neutral,Neutral,neutral,Neutral
25612,Negative,neg,Neutral,negative,Negative
26184,Neutral,neutral,Neutral,neutral,Neutral
26572,Positive,neg,Neutral,positive,Positive
26594,Neutral,neutral,Positive,negative,Neutral
27430,Positive,pos,Positive,positive,Positive
27656,Negative,pos,Neutral,neutral,Neutral
27659,Neutral,neutral,Neutral,negative,Neutral
27962,Neutral,neutral,Neutral,neutral,Negative
28313,Positive,pos,Positive,positive,Negative
28338,Neutral,neutral,Neutral,positive,Positive
28741,Neutral,neutral,Neutral,neutral,Neutral
28865,Neutral,neg,Neutral,positive,Negative
29014,Positive,pos,Positive,positive,Positive
29161,Neutral,neutral,Neutral,neutral,Neutral
29492,Neutral,neg,Neutral,negative,Negative
29936,Positive,neg,Neutral,negative,Negative
30705,Neutral,neutral,Neutral,negative,Neutral
31064,Neutral,neutral,Positive,negative,Neutral
31191,Negative,neg,Negative,negative,Negative
31347,Negative,neutral,Positive,negative,Negative
31554,Neutral,neg,Neutral,neutral,Positive
32125,Neutral,neutral,Neutral,neutral,Neutral
33026,Neutral,neutral,Positive,negative,Negative
33049,Positive,neutral,Neutral,positive,Neutral
33117,Neutral,neg,Neutral,neutral,Negative
33144,Neutral,neutral,Positive,negative,Neutral
33264,Neutral,neutral,Neutral,neutral,Negative
33497,Neutral,neutral,Positive,negative,Neutral
33812,Neutral,neg,Neutral,negative,Negative
33963,Neutral,neutral,Neutral,neutral,Negative
33984,Neutral,pos,Neutral,positive,Neutral
34194,Positive,pos,Positive,positive,Positive
34239,Neutral,neg,Neutral,neutral,Neutral
34486,Neutral,pos,Positive,positive,Negative
34559,Neutral,pos,Negative,positive,Negative
34779,Neutral,neutral,Neutral,negative,Positive
35079,Neutral,neutral,Positive,positive,Negative
36048,Neutral,neg,Neutral,positive,Negative
36205,Neutral,neg,Neutral,neutral,Negative
36622,Neutral,neutral,Neutral,negative,Neutral
36623,Positive,pos,Positive,negative,Positive
36717,Neutral,neutral,Neutral,positive,Positive
37179,Neutral,neutral,Neutral,negative,Neutral
37251,Neutral,neutral,Neutral,negative,Negative
37398,Neutral,neutral,Neutral,neutral,Negative
37778,Neutral,neutral,Negative,negative,Negative
38592,Neutral,neutral,Neutral,neutral,Neutral
38797,Neutral,pos,Neutral,neutral,Neutral
39032,Neutral,neutral,Neutral,neutral,Neutral
40844,Neutral,neg,Positive,negative,Negative
41195,Positive,pos,Positive,positive,Neutral
41306,Neutral,neutral,Neutral,positive,Neutral
41962,Neutral,neg,Positive,neutral,Negative
42086,Positive,pos,Positive,positive,Neutral
42670,Neutral,neutral,Neutral,positive,Neutral
43983,Neutral,neutral,Neutral,negative,Neutral
44105,Neutral,neutral,Neutral,negative,Neutral
44952,Positive,neg,Positive,negative,Negative
44965,Neutral,neg,Neutral,neutral,Negative
45473,Neutral,neutral,Positive,neutral,Negative
45651,Neutral,neutral,Neutral,neutral,Negative
45835,Neutral,neutral,Positive,positive,Negative
45877,Neutral,neutral,Positive,positive,Negative
45983,Neutral,neg,Positive,negative,Negative
46121,Neutral,pos,Neutral,positive,Negative
46218,Neutral,neutral,Neutral,neutral,Neutral
46309,Neutral,neutral,Neutral,neutral,Positive
46878,Neutral,neg,Positive,positive,Negative
46997,Positive,pos,Positive,positive,Neutral
47855,Positive,pos,Positive,positive,Positive
48151,Neutral,neg,Neutral,negative,Neutral
48779,Positive,pos,Positive,positive,Positive
49357,Neutral,neutral,Neutral,neutral,Neutral
49361,Neutral,neutral,Positive,neutral,Negative
49893,Positive,pos,Positive,positive,Positive
50449,Neutral,neg,Negative,negative,Negative
50490,Neutral,neutral,Neutral,positive,Negative
50889,Neutral,neg,Positive,neutral,Negative
51981,Positive,neutral,Neutral,neutral,Negative
52597,Positive,pos,Positive,positive,Positive
52716,Neutral,neutral,Neutral,neutral,Neutral
53257,Positive,neutral,Positive,positive,Neutral
53284,Neutral,neutral,Positive,negative,Negative
53882,Positive,pos,Neutral,negative,Negative
54763,Neutral,neg,Neutral,neutral,Neutral
56246,Neutral,neutral,Neutral,negative,Negative
56598,Neutral,pos,Neutral,neutral,Negative
57081,Neutral,neutral,Neutral,negative,Neutral
57316,Neutral,neutral,Neutral,neutral,Positive
58251,Neutral,neutral,Neutral,negative,Negative
58473,Neutral,neutral,Neutral,neutral,Neutral
58715,Neutral,neg,Neutral,negative,Neutral
58877,Neutral,neg,Negative,negative,Negative
59275,Neutral,neutral,Negative,negative,Negative
60022,Neutral,neutral,Neutral,neutral,Negative
60192,Neutral,neutral,Neutral,negative,Negative
60217,Positive,neutral,Neutral,positive,Positive
60365,Neutral,neutral,Neutral,negative,Positive
60566,Neutral,neutral,Neutral,negative,Negative
60669,Neutral,neutral,Positive,neutral,Positive
60790,Neutral,neutral,Neutral,negative,Negative
60965,Neutral,neg,Positive,negative,Negative
61104,Negative,neg,Positive,negative,Negative
61272,Positive,neg,Positive,positive,Positive
61660,Neutral,neutral,Neutral,negative,Negative
61898,Neutral,neutral,Neutral,neutral,Neutral
61974,Neutral,neutral,Neutral,neutral,Neutral
62999,Neutral,neg,Neutral,negative,Negative
63070,Neutral,neutral,Neutral,neutral,Neutral
63697,Positive,pos,Positive,positive,Positive
63811,Neutral,neutral,Neutral,negative,Neutral
64082,Neutral,neutral,Negative,negative,Negative
64300,Neutral,neutral,Neutral,negative,Neutral
64407,Neutral,neutral,Negative,negative,Negative
64751,Positive,neg,Positive,positive,Negative
65088,Neutral,neutral,Positive,negative,Negative
65661,Neutral,pos,Neutral,neutral,Negative
65869,Neutral,neutral,Positive,negative,Negative
67087,Neutral,neutral,Positive,negative,Neutral
67301,Positive,pos,Positive,positive,Positive
68066,Negative,neg,Negative,negative,Negative
68136,Neutral,neutral,Neutral,neutral,Negative
68539,Neutral,neg,Neutral,positive,Negative
69146,Neutral,neutral,Negative,neutral,Negative
69716,Negative,neg,Negative,negative,Negative
70014,Neutral,pos,Positive,negative,Negative
70265,Negative,pos,Negative,negative,Negative
70682,Neutral,neutral,Neutral,neutral,Neutral
71085,Neutral,neutral,Neutral,negative,Negative
71224,Neutral,neutral,Neutral,neutral,Negative
71371,Neutral,neutral,Neutral,negative,Negative
72474,Neutral,neutral,Positive,negative,Neutral
73133,Neutral,neutral,Positive,negative,Neutral
73977,Neutral,neutral,Negative,negative,Negative
74032,Positive,pos,Positive,negative,Neutral
74046,Positive,pos,Neutral,positive,Positive
74301,Positive,pos,Positive,positive,Positive
74448,Neutral,neg,Neutral,negative,Neutral
74491,Neutral,neutral,Neutral,neutral,Negative
75082,Neutral,neg,Positive,neutral,Negative
75121,Neutral,neutral,Neutral,neutral,Negative
75490,Neutral,pos,Neutral,neutral,Positive
75762,Negative,pos,Negative,positive,Negative
75901,Neutral,neutral,Neutral,neutral,Negative
76244,Neutral,neutral,Neutral,negative,Negative
76385,Positive,pos,Neutral,positive,Neutral
